pub_date	title	venue	excerpt	citation	url_slug	paper_url
2021-11-01	Deep Learning for Predicting Gamma-Ray Interaction Positions in LYSO Detector	2021 43rd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC)		C. Clement et al., "Deep Learning for Predicting Gamma-Ray Interaction Positions in LYSO Detector," 2021 43rd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC), 2021, pp. 3366-3369, doi: 10.1109/EMBC46164.2021.9630934.	embc-2021	http://dx.doi.org/10.1109/embc46164.2021.9630934
2022-12-19	Concept development of an on-chip PET system	EJNMMI Physics		Clement, C., Birindelli, G., Pizzichemi, M. et al. Concept development of an on-chip PET system. EJNMMI Phys 9, 38 (2022). https://doi.org/10.1186/s40658-022-00467-x	ejnmmi-physics-2022	http://dx.doi.org/10.1186/s40658-022-00467-x
