title	type	url_slug	venue	date	location	talk_url	description
Predicting Gamma-Ray Interaction Positions for the Development of an On-Chip PET System Using Deep Learning	Oral Presentation	nuk-med-2021	Congress of the German Society of Nuclear Medizin	2021-04-15	Virtual		
Deep Learning for Predicting Gamma-Ray Interaction Positions in LYSO Detector	Oral Presentation	embc-2021	43rd Annual International Conference of the IEEE Engineering in Medicine and Biology Society	2021-11-02	Virtual		
Concept Development of an On-Chip PET System	Oral Presentation	nuk-med-2022	Congress of the German Society of Nuclear Medizin	2022-04-29	Leipzig, Germany		
Development of a PET System Capable of Imaging Organs-on-Chips	Oral Presentation	eanm-2022-1	35th Annual Congress of the European Association of Nuclear Medicine	2022-10-16	Barcelona, Spain
Deep Learning-based Classification Improves Clinical Interpretation of [18F]florzolotau Tau PET Imaging	Oral Presentation	eanm-2022-2	35th Annual Congress of the European Association of Nuclear Medicine	2022-10-16	Barcelona, Spain
